name,client_id,region_id
Acosta_ServiceDesk,Acosta_ServiceDesk,Global
AiCure,Life Science Services,Global
Alcoa,Alcoa NOA,Global
Alcoa_Bucharest,Alcoa Europe,Global
Alcoa_Canada,Alcoa Europe,Global
Alcoa_HR,Alcoa NOA,Global
Alcoa_Scandinavia,Alcoa Europe,Global
AlvarezMarsal,AlvarezMarsal,Global
Amcor,Amcor,Global
Amcor_EMEA,Amcor,Global
Apollo,Travelport,Global
Arconic,Alcoa Europe,Global
Arconic_NOA,Alcoa NOA,Global
Aris_Global,Life Science Services,Global
ArisGlobal,Life Science Services,Global
AVID_PRO_Bucharest,AVID PRO,Global
AVID_PRO_Manila,AVID PRO,Global
BCGA,BCGA,Global
BioRad,Bio-Rad Global,Global
Brown_Forman,Brown-Forman,Global
Cambridge_Associates,Cambridge_Associates,Global
Cambridge_Cognition,Life Science Services,Global
CCH_ServiceDesk,CCH_ServiceDesk,Global
CEC,Career Education Corporation,Global
Ceva_Global_Service_Desk,Ceva_Global_Service_Desk,Global
Clariant,Clariant Service Desk,Global
Clinpal,Life Science Services,Global
CLS_ServiceDesk,CLS ServiceDesk,Global
CNH,CNH,Global
CNHI_EMEA,CNHI_EMEA,Global
CNHI_NAFTA,CNHI_NAFTA,Global
Covance,Covance,Global
CRF_Health,Life Science Services,Global
DeVry_Stefanini,DeVry_Stefanini,Global
Duke,Duke,Global
Embraer,Embraer,Global
Enel_Green_Power_NA,Enel Green Power,Global
eNett,eNett,Global
Epsilon,Epsilon,Global
Essilor,Essilor,Global
EURID,ITSS,Global
Evoqua,EVOQUA_ServiceDesk,Global
Expedia,Orbitz WW SD,Global
Ferro,Ferro,Global
Firmenich,Firmenich,Global
Flexera_Software,Flexera,Global
Galileo_APAC,Travelport,Global
Galileo_Brussels,Travelport,Global
Galileo_Bucharest,Travelport,Global
Galileo_EMEA,Travelport,Global
Galileo_LATAM,Travelport,Global
Galileo_Manila,Travelport,Global
Galileo_Shanghai,Travelport,Global
Goodman_Service_Desk,Goodman Service Desk,Global
GSK_EMEA,GSK,Global
GSK_LATAM,GSK,Global
GSK_Manila,GSK,Global
GSK_Morocco,GSK,Global
Hanon,Hanon,Global
Heinz,Heinz,Global
Heinz_Bucharest,Heinz,Global
Heinz_China,Heinz,Global
Heinz_Manila,Heinz,Global
Heinz_SaoPaolo,Heinz,Global
Honda,Honda,Global
Huron_Consulting_Group,Huron Consulting Group,Global
IBO,ITSS,Global
Icon,Life Science Services,Global
Infineum,Infineum,Global
Invengo,ITSS,Global
JDSD_Davenport,John Deere,Global
JDSD_India,John Deere,Global
JDSD_Mexico,John Deere,Global
JDSD_Shanghai,John Deere,Global
John_Deere,John Deere,Global
Kraft_Heinz,Heinz,Global
LINDE,Linde,Global
Locomote,Locomote,Global
Louis_Vuitton_North_America,Louis Vuitton North America,Global
Lupus_Research_Institute,Life Science Services,Global
MasterCard,MasterCard,Global
MAUD_Manila,AVID,Global
MAUD_Romania,AVID,Global
Medidata,Life Science Services,Global
Merck_Serono,Life Science Services,Global
Miele_and_Cie,Miele_and_Cie,Global
mProve,Life Science Services,Global
MSC,ITSS,Global
NBA_Service_Desk,NBA_Service_Desk,Global
Nexans_Service_Desk,Nexans_Service_Desk,Global
NIKE_APAC_NR,Nike_Service_Desk,Global
NIKE_APAC_R,Nike_Service_Desk,Global
NIKE_EMEA_NR,Nike_Service_Desk,Global
NIKE_EMEA_R,Nike_Service_Desk,Global
Nike_Service_Desk,Nike_Service_Desk,Global
Novelis,Novelis,Global
Novelis_EMEA,Novelis,Global
Orbitz_WW_SD,Orbitz WW SD,Global
Philip_Morris,Philip_Morris,Global
Puratos,ITSS,Global
Reception_Brussels,Reception Brussels,Global
Reydel,Reydel,Global
Route_One,Route One,Global
S_Clinica,Life Science Services,Global
sanofi_aventis,Life Science Services,Global
Sanofi_Pasteur,Life Science Services,Global
SAPA_Group,SAPA_Group,Global
Servier,Life Science Services,Global
SNHU,SNHU,Global
Sulzer_Service_Desk,Sulzer Service Desk,Global
Swagelok,Swagelok,Global
Tagsys_RFID,ITSS,Global
Town_Sports_International,Town Sports International,Global
TRW_Automotive,SSV-POS,Global
TRW_Global,TRW Global,Global
TTSD,ITSS,Global
Vallourec,Vallourec,Global
Vallourec_NA,Vallourec,Global
Visteon,Visteon,Global
Worldspan_Brussels,Travelport,Global
Worldspan_Bucharest,Travelport,Global
Worldspan_EMEA,Travelport,Global
Worldspan_LATAM,Travelport,Global
